emp_no,first_name,last_name,title,from_date,salary
435456,Chiradeep,Bazzichi,Senior Engineer,2002-07-14,45009
96138,Lidong,Ghalwash,Senior Engineer,2002-07-13,40000
234816,Filipe,Langford,Senior Engineer,2002-07-13,51399
57715,Shaibal,Chinen,Senior Staff,2002-07-13,40000
205245,Angus,Raczkowsky,Senior Engineer,2002-07-11,54462
58475,Angel,Chaudhury,Senior Engineer,2002-07-11,40000
292198,Geoff,Gien,Senior Staff,2002-07-10,91548
226568,Deniz,Frezza,Senior Staff,2002-07-10,52504
281118,Munir,Leaver,Senior Staff,2002-07-10,72801
105264,Chrisa,Simkin,Senior Staff,2002-07-10,56850
35333,Hideyuki,Veldwijk,Senior Engineer,2002-07-10,43872
488941,Wayne,Zeidenstein,Senior Staff,2002-07-09,46812
283185,Fabrizio,Schapire,Senior Engineer,2002-07-09,40000
427055,Toong,Rosis,Senior Engineer,2002-07-09,40000
35570,Baocai,Katzenelson,Senior Engineer,2002-07-09,55970
232276,Berna,Ruemmler,Senior Staff,2002-07-09,40000
32465,Yucel,Dymetman,Senior Engineer,2002-07-09,40000
12601,Ghassan,Simkin,Senior Engineer,2002-07-09,41714
56808,Yuriy,Anick,Senior Staff,2002-07-08,40000
223543,Basil,Peres,Senior Engineer,2002-07-08,61263
275189,Sachar,Katzenelson,Engineer,2002-07-08,45637
226275,Alain,Katiyar,Senior Engineer,2002-07-08,77454
486012,Ramzi,Shanbhogue,Senior Engineer,2002-07-08,51735
20558,Toong,Panangaden,Senior Staff,2002-07-07,40000
81079,Nahla,Mellouli,Senior Staff,2002-07-07,53145
298261,Tommaso,Mateescu,Senior Engineer,2002-07-07,47420
415320,Mingzeng,Mullainathan,Senior Engineer,2002-07-07,40000
207793,Magdalena,Passafiume,Senior Engineer,2002-07-07,40000
259583,Kiyomitsu,Swan,Senior Staff,2002-07-06,40000
106417,Kwun,Clouatre,Senior Staff,2002-07-06,40000
285002,Turgut,Ranai,Senior Engineer,2002-07-06,42271
445910,Patricia,Fritzsche,Senior Staff,2002-07-06,53423
416690,Ulf,Mahmud,Senior Staff,2002-07-05,80568
401017,Shigeu,Provine,Senior Staff,2002-07-05,76730
413160,Tadanori,Felcyn,Senior Staff,2002-07-05,94214
273601,Anwar,Seiwald,Senior Engineer,2002-07-05,40000
109189,Billie,Codenie,Senior Staff,2002-07-05,73531
262216,Ennio,Auria,Senior Staff,2002-07-04,76452
295365,Jianhui,Bridgland,Senior Engineer,2002-07-04,47401
36573,Xuedong,Lakshmanan,Senior Engineer,2002-07-04,40000
451010,Ger,Schusler,Senior Engineer,2002-07-04,51933
278531,Zeljko,Serre,Senior Staff,2002-07-04,55662
241880,Moty,Erev,Senior Staff,2002-07-04,66915
109809,Kazuhide,Cherinka,Senior Engineer,2002-07-04,41558
77325,Feiyu,Brickell,Senior Staff,2002-07-03,70697
492323,Houman,Stanfel,Senior Staff,2002-07-02,96794
69647,Deborah,Pileggi,Senior Staff,2002-07-02,64210
289961,Kitty,Ponthieu,Senior Engineer,2002-07-02,66418
24596,Ayonca,Stranks,Senior Staff,2002-07-02,68819
59783,Volkmar,Raczkowsky,Senior Staff,2002-07-02,60047
462289,Kenroku,Adachi,Senior Engineer,2002-07-01,44191
50512,Yolla,Shimshoni,Senior Engineer,2002-07-01,40000
35510,JoAnne,Merks,Senior Engineer,2002-06-30,40000
265161,Hausi,Pfau,Senior Staff,2002-06-30,40000
255499,Dannz,Engelmann,Senior Staff,2002-06-30,72737
285243,Lakshmi,Vieth,Senior Staff,2002-06-30,52052
24383,Aksel,Erev,Senior Engineer,2002-06-30,40000
15066,Tomokazu,Oaver,Senior Engineer,2002-06-29,43455
104610,Fusako,Peak,Senior Staff,2002-06-29,61345
61465,Sumant,Huttel,Senior Staff,2002-06-29,44950
488121,Urs,Schneeberger,Senior Engineer,2002-06-29,40000
281699,Filipe,Penz,Senior Staff,2002-06-28,40000
45977,Ulf,Wiegley,Senior Staff,2002-06-28,44570
290536,Kiam,Janetzko,Senior Engineer,2002-06-28,40000
211837,Billur,Porotnikoff,Senior Engineer,2002-06-28,40000
458058,Marjo,Klassen,Senior Engineer,2002-06-26,42140
280598,Takanari,Lovengreen,Senior Staff,2002-06-25,40920
33205,Matk,Egerstedt,Senior Engineer,2002-06-25,67507
43996,Hiroyasu,Bodoff,Senior Engineer,2002-06-25,57941
262041,Eckart,Valette,Senior Engineer,2002-06-24,40000
449604,Ottavia,Varman,Senior Engineer,2002-06-24,45571
490453,Eckart,Baik,Senior Engineer,2002-06-24,40000
208256,Hugh,Mungall,Senior Engineer,2002-06-24,40000
285294,Sorina,Kitai,Senior Engineer,2002-06-24,56537
462859,Xinglin,Gire,Senior Engineer,2002-06-23,40000
239873,Mohd,Baaz,Senior Engineer,2002-06-23,47475
471942,Heekeun,Hardjono,Senior Engineer,2002-06-23,59805
105167,Lillian,Comyn,Senior Staff,2002-06-23,68908
277869,Berto,Kakkar,Senior Engineer,2002-06-22,55457
30606,Chuanyi,Shrader,Senior Engineer,2002-06-22,50508
221475,Wilmer,Engelmann,Senior Engineer,2002-06-22,43027
474194,Ult,Iisaka,Senior Engineer,2002-06-22,46451
73868,Moon,Goodrum,Senior Engineer,2002-06-22,79654
254880,Tran,Rassart,Senior Staff,2002-06-21,77640
494853,Yechiam,Lunt,Senior Staff,2002-06-21,72948
440788,Zita,Mawatari,Senior Engineer,2002-06-21,41491
65594,Dietrich,Sadowski,Senior Engineer,2002-06-21,40000
44682,Souichi,Boissier,Senior Staff,2002-06-19,82058
413905,Piyawadee,Gelosh,Engineer,2002-06-19,55848
87637,Qingxiang,Aamodt,Senior Staff,2002-06-18,40000
22012,DeForest,Armand,Senior Engineer,2002-06-18,42886
209316,Jaana,Kuszyk,Senior Engineer,2002-06-18,40000
475810,Martial,Bellone,Senior Staff,2002-06-18,61994
404674,Rajmohan,Furedi,Senior Engineer,2002-06-17,53382
47766,Gunilla,Simmel,Senior Staff,2002-06-17,55261
256852,Shir,Tanemo,Senior Staff,2002-06-17,61271
95541,Chinho,Whitcomb,Senior Engineer,2002-06-17,40000
445220,Florina,Luft,Senior Staff,2002-06-17,58098
257274,Yagil,Perfilyeva,Senior Engineer,2002-06-17,40000
35558,Kshitij,Staudhammer,Senior Staff,2002-06-17,62866
47293,Unal,Beidas,Senior Engineer,2002-06-16,40000
409685,Hausi,Brandsma,Senior Engineer,2002-06-16,43218
48371,Valery,Krupka,Senior Staff,2002-06-16,60182
484799,Peternela,Roohalamini,Senior Engineer,2002-06-16,46839
486925,Saeed,Hatcliff,Senior Engineer,2002-06-16,44066
33216,Zdislav,Thombley,Senior Staff,2002-06-15,68912
405774,Weiyi,Cmelik,Senior Engineer,2002-06-14,40000
234703,Deborah,Levasseur,Engineer,2002-06-14,58316
242863,Debaprosad,Otillio,Senior Staff,2002-06-14,55529
85811,Dayanand,Bain,Senior Engineer,2002-06-13,60982
427817,Vishv,Kading,Senior Engineer,2002-06-13,40000
50590,Leucio,Calkin,Senior Engineer,2002-06-13,40000
243208,Sachin,Biros,Senior Staff,2002-06-13,40000
19744,Aleksander,Skafidas,Senior Engineer,2002-06-13,59739
92983,Masoud,Rosca,Senior Engineer,2002-06-12,48444
445410,Elvia,Brodie,Senior Engineer,2002-06-12,66788
35865,Claudi,Fujisaki,Senior Engineer,2002-06-11,40000
407956,Yonghong,Kawashima,Senior Staff,2002-06-10,91362
452451,Duro,Matzen,Engineer,2002-06-10,64113
401298,Narain,Plotkin,Senior Staff,2002-06-09,40000
450217,Petter,Gluchowski,Senior Engineer,2002-06-09,40000
64969,Jasminko,Kawashima,Senior Engineer,2002-06-09,40000
484282,Tetsushi,Anick,Senior Staff,2002-06-09,53111
482539,Bikash,Pehl,Senior Engineer,2002-06-08,40000
407824,Sreekrishna,Kalsbeek,Senior Engineer,2002-06-08,64167
102483,Qingxiang,Boissier,Senior Engineer,2002-06-07,40000
44060,Luigi,Brattka,Senior Engineer,2002-06-07,40000
228524,Erzsebet,Androutsos,Senior Engineer,2002-06-07,40000
451441,Sahrah,Rijckaert,Senior Staff,2002-06-07,56396
65568,Mark,Ventosa,Senior Engineer,2002-06-06,44039
489782,Jiong,Schnabel,Senior Engineer,2002-06-06,60818
108985,Masanao,Bressoud,Senior Engineer,2002-06-06,59458
447132,Masaru,Crelier,Senior Staff,2002-06-06,50938
39883,Moriyoshi,Luan,Senior Engineer,2002-06-06,40000
419062,Stafford,Walstra,Senior Engineer,2002-06-05,70299
108179,Constantijn,Crelier,Senior Engineer,2002-06-05,54941
400141,Suebskul,Rassart,Senior Engineer,2002-06-04,46768
96083,Khalil,Muchinsky,Senior Staff,2002-06-03,47965
84809,Hironoby,Zobel,Senior Engineer,2002-06-03,40000
29120,Parto,Bergere,Senior Staff,2002-06-03,85465
250129,Karoline,Duclos,Senior Engineer,2002-06-03,40000
438544,Faiza,Lukaszewicz,Senior Engineer,2002-06-02,40000
229461,Berto,Raczkowsky,Senior Staff,2002-06-02,77682
465904,Lorien,Schmezko,Senior Engineer,2002-06-02,40000
409153,Arie,Backhouse,Senior Staff,2002-06-02,80090
202360,Indrajit,Jeong,Senior Staff,2002-06-01,48372
27396,Brendon,Zykh,Senior Engineer,2002-06-01,55838
298276,Zito,Sgarro,Senior Engineer,2002-06-01,40000
18946,Gio,Warwick,Senior Engineer,2002-06-01,40000
437678,Val,Pocchiola,Senior Engineer,2002-06-01,44462
14723,Constantino,Assaf,Senior Staff,2002-06-01,40000
91228,Hauke,Leijenhorst,Senior Engineer,2002-05-31,54436
274044,Yuchang,Erni,Senior Engineer,2002-05-30,55056
229649,DAIDA,Montresor,Senior Engineer,2002-05-29,40000
34600,Godehard,Middleton,Senior Staff,2002-05-29,67242
480670,Sanjoy,Penz,Senior Staff,2002-05-28,92833
413791,Jiong,Zaumen,Senior Staff,2002-05-28,60814
473812,Khue,Levergood,Senior Staff,2002-05-28,79856
262663,Fumino,Riexinger,Senior Staff,2002-05-28,42308
284056,Tze,Ambroszkiewicz,Senior Engineer,2002-05-27,63252
30948,Xinan,Lunt,Senior Engineer,2002-05-27,50840
498311,Rajmohan,Zeidenstein,Senior Staff,2002-05-27,46937
261527,Arunachalam,Butner,Senior Engineer,2002-05-27,41800
266827,Udi,Gronowski,Senior Engineer,2002-05-26,40000
93291,Kasidit,Hofstetter,Senior Staff,2002-05-26,60896
449520,Navid,Mansanne,Senior Staff,2002-05-26,40000
412444,Gio,Fritzsche,Senior Engineer,2002-05-26,53835
65663,Rafael,Leppanen,Senior Engineer,2002-05-26,50166
444553,Nikolaus,Gluchowski,Senior Staff,2002-05-25,97585
285348,Jianhui,Bardell,Senior Engineer,2002-05-24,40000
67227,Shuky,Showalter,Senior Engineer,2002-05-24,40000
39405,Toong,Millington,Senior Engineer,2002-05-24,50102
412093,Avishai,Engelmann,Senior Staff,2002-05-23,91917
416096,Nobuyoshi,Ginneken,Senior Engineer,2002-05-23,47236
109010,Shaibal,Yavatkar,Senior Engineer,2002-05-23,40000
64556,Xiaopeng,Fritzsche,Senior Engineer,2002-05-21,40000
459483,Shmuel,Docker,Senior Staff,2002-05-21,69722
455054,Ingemar,Lores,Senior Staff,2002-05-21,63990
481695,Bikash,Pusterhofer,Senior Staff,2002-05-21,40000
290062,Godehard,Morrow,Senior Staff,2002-05-21,66211
471991,Janche,Farrag,Senior Engineer,2002-05-21,40000
203318,Xudong,Cooley,Senior Engineer,2002-05-21,56536
19120,Giri,Qiwen,Engineer,2002-05-20,49416
70164,Ult,Bergere,Senior Engineer,2002-05-20,52833
277729,Shirish,Nanard,Senior Staff,2002-05-19,40000
266333,Moss,Oppitz,Senior Staff,2002-05-19,52343
11134,Sachar,Rajcani,Senior Engineer,2002-05-19,58731
87769,Subhrajyoti,Tomescu,Senior Engineer,2002-05-19,76979
59242,Fun,Peak,Senior Staff,2002-05-19,65859
472720,Gal,Sudbeck,Senior Engineer,2002-05-18,40000
281084,Sven,Bugaenko,Senior Engineer,2002-05-18,41542
412644,Gritta,Kropatsch,Senior Staff,2002-05-17,56090
274463,Uli,Glowinski,Senior Engineer,2002-05-17,40000
464504,Weiwu,Shrader,Senior Staff,2002-05-16,60909
459031,Kazuhiro,Raoux,Senior Staff,2002-05-16,55137
401000,Barry,Reeker,Senior Engineer,2002-05-16,70084
401410,Hitomi,Domenig,Senior Staff,2002-05-16,40000
283496,Kenroku,Flasterstein,Senior Staff,2002-05-15,69688
266049,Odysseas,Delaune,Senior Staff,2002-05-15,67285
486372,Hsiangchu,Renear,Senior Staff,2002-05-14,63537
467357,Suebskul,Lichtman,Senior Engineer,2002-05-13,48994
31956,Ziyad,Gecsei,Senior Staff,2002-05-13,59475
431480,Zhigen,Christ,Senior Staff,2002-05-13,63778
274554,Sakthirel,Rattan,Senior Engineer,2002-05-13,56199
292776,Marie,Zeidenstein,Senior Staff,2002-05-12,42843
271603,Szabolcs,Carrere,Senior Staff,2002-05-12,40000
36874,Genki,Aloia,Senior Staff,2002-05-11,62935
65858,Martins,Awdeh,Senior Engineer,2002-05-11,40189
108053,Abdelghani,Nilsson,Senior Staff,2002-05-11,76316
35046,Sachem,Luders,Senior Staff,2002-05-10,62184
471529,Munir,Aloia,Senior Staff,2002-05-10,76906
476933,Mayuri,Kobara,Senior Staff,2002-05-10,40000
475221,Yuqun,Rassart,Senior Engineer,2002-05-10,65150
474895,Michaela,Hertweck,Senior Staff,2002-05-10,46350
264126,Toshiki,Thimonier,Engineer,2002-05-09,71356
202418,Xumin,Vuskovic,Senior Staff,2002-05-09,55459
204131,Kazuhira,Luit,Senior Staff,2002-05-09,40000
23369,Khalil,Zykh,Senior Staff,2002-05-09,61057
417510,Yonghong,Ernst,Senior Staff,2002-05-08,57967
422685,Reinhard,Oxman,Senior Engineer,2002-05-08,71169
99161,Ramya,Heyers,Senior Engineer,2002-05-08,51933
426864,Dines,Rissanen,Senior Engineer,2002-05-08,58175
223927,Bernice,Furudate,Senior Engineer,2002-05-07,40000
287152,Raimond,Comte,Senior Staff,2002-05-07,40000
481872,Moty,Usdin,Senior Engineer,2002-05-07,40000
271272,Willard,Matheson,Senior Engineer,2002-05-07,40000
419470,Larisa,Antonakopoulos,Senior Staff,2002-05-07,40000
66425,Mats,Eppinger,Senior Engineer,2002-05-07,57825
426274,Valdiodio,Pillow,Senior Engineer,2002-05-06,59911
444641,Unal,Zallocco,Senior Engineer,2002-05-06,58458
498670,Aram,Menyhert,Senior Staff,2002-05-06,69027
16000,Marek,Demos,Senior Engineer,2002-05-05,40000
422614,Anneke,Wuwongse,Senior Engineer,2002-05-05,40000
107245,Horward,Docker,Senior Staff,2002-05-05,68492
228655,Jiong,Blokdijk,Senior Staff,2002-05-05,71596
18933,Barun,Panienski,Senior Engineer,2002-05-04,47862
272945,Tran,Mayerwieser,Senior Engineer,2002-05-03,40000
415404,Zhongwei,Gonthier,Senior Engineer,2002-05-03,40000
99981,Rimon,Grandbois,Senior Engineer,2002-05-03,48230
297486,Qingxiang,Ducloy,Senior Staff,2002-05-02,40000
70530,Qunsheng,Stille,Senior Engineer,2002-05-02,40000
442862,Munehiro,Dayang,Senior Staff,2002-05-02,43013
411544,Byong,Legleitner,Senior Staff,2002-05-02,71666
45828,Panayotis,Litzkow,Senior Engineer,2002-05-02,65770
293946,Nadjib,Merro,Senior Staff,2002-05-01,45167
221356,Pradeep,Hagimont,Senior Engineer,2002-05-01,43732
254292,Pranas,Eppinger,Senior Staff,2002-05-01,82442
413671,Aral,Moehrke,Senior Staff,2002-04-30,78073
217451,Sanjoy,Giarratana,Senior Staff,2002-04-30,57706
284809,Tru,Danner,Senior Engineer,2002-04-30,76478
271344,Eckart,Rodiger,Senior Staff,2002-04-30,40000
216965,Badri,Birke,Senior Staff,2002-04-30,54761
254043,Saddek,Peng,Senior Staff,2002-04-29,40000
490337,Faiza,Clemencon,Senior Engineer,2002-04-29,40000
232416,Tokuyasu,Binkley,Senior Engineer,2002-04-29,59754
206416,Ronnie,Kopetz,Senior Staff,2002-04-29,59918
238847,Barton,Buchter,Senior Engineer,2002-04-29,40000
210671,Serap,Tsukuda,Senior Staff,2002-04-28,40000
448037,Niclas,Trachtenberg,Senior Engineer,2002-04-28,57671
460851,Uzi,Anily,Senior Staff,2002-04-28,40000
90261,Rimli,Merle,Senior Engineer,2002-04-28,40000
230188,Snehasis,Krychniak,Senior Staff,2002-04-27,40000
447008,Zsolt,Cooman,Senior Staff,2002-04-27,67211
214078,Surveyors,Merli,Senior Staff,2002-04-27,76255
75589,Sudharsan,Ghazalie,Senior Staff,2002-04-27,41806
462140,Josyula,Chleq,Senior Engineer,2002-04-26,40000
485212,Magdalena,Besancenot,Senior Engineer,2002-04-26,40000
44875,Goh,Reinhart,Senior Staff,2002-04-26,73457
226987,Arif,Delgrossi,Engineer,2002-04-25,55209
107101,Moni,Crabtree,Senior Engineer,2002-04-24,40232
97104,Chiranjit,Ashish,Senior Engineer,2002-04-23,60436
218927,Saddek,Jenevein,Senior Staff,2002-04-23,60013
214753,Stafford,dAstous,Senior Engineer,2002-04-22,40000
108627,Kenroku,Harbusch,Senior Staff,2002-04-22,56920
481526,Shim,Stemann,Senior Engineer,2002-04-22,40000
424205,Paris,Shumilov,Senior Engineer,2002-04-21,40000
297639,Serenella,Auyong,Senior Engineer,2002-04-21,48298
413911,Siamak,Karlin,Senior Engineer,2002-04-21,65383
244654,Suzette,Katiyar,Senior Engineer,2002-04-21,55724
263061,Xiaobin,Jenevein,Senior Staff,2002-04-21,65580
228285,Weiwu,Pollock,Senior Engineer,2002-04-21,40000
212742,Gal,Melter,Senior Staff,2002-04-20,69846
424250,Suzette,Wendorf,Senior Staff,2002-04-19,63665
72400,Charmane,Merel,Senior Staff,2002-04-19,40000
292464,Gennady,Choobineh,Senior Engineer,2002-04-19,40000
456361,Bouchung,Georgatos,Senior Engineer,2002-04-18,40000
19422,Florian,Budinsky,Senior Engineer,2002-04-18,48435
267012,Armond,Lodder,Senior Engineer,2002-04-17,49569
435126,Zeydy,Bernardeschi,Senior Staff,2002-04-17,41687
410029,Martins,Lung,Senior Engineer,2002-04-16,63720
86674,Fumiya,Candan,Senior Staff,2002-04-16,40000
19493,Caolyn,Tramer,Senior Engineer,2002-04-16,59120
410798,Fumiyo,Plumb,Senior Engineer,2002-04-16,51953
98766,Gretta,Buchter,Senior Engineer,2002-04-16,69215
202677,LiMin,Decaestecker,Senior Engineer,2002-04-15,40000
439518,Kenroku,Homond,Senior Engineer,2002-04-15,40000
259726,Houman,Cyne,Senior Engineer,2002-04-15,40000
105886,Stafford,Mitchem,Senior Staff,2002-04-15,79210
239287,Mario,Katiyar,Senior Engineer,2002-04-14,48533
474388,Shooichi,Bach,Senior Staff,2002-04-14,64476
401593,Susanna,Seiwald,Senior Staff,2002-04-14,65315
438267,Malu,Sichman,Senior Staff,2002-04-14,44058
481502,Bikash,Fordan,Senior Engineer,2002-04-13,40000
104941,Yonghong,Schaap,Senior Engineer,2002-04-13,43708
216138,Giordano,Shanbhogue,Senior Engineer,2002-04-13,40000
443823,Chaitali,Axelband,Senior Staff,2002-04-13,54033
444370,Masanao,Genin,Senior Staff,2002-04-12,40000
266708,Nahid,Ariola,Senior Engineer,2002-04-12,40000
440010,King,Lamma,Senior Engineer,2002-04-12,40000
287646,Otilia,Etalle,Senior Engineer,2002-04-11,40000
440400,Vasiliy,Karlin,Senior Staff,2002-04-11,73947
268436,Phuoc,Onuegbe,Senior Engineer,2002-04-11,40000
212042,Sigeru,Brizzi,Senior Staff,2002-04-09,46054
39323,Zita,Ratnaker,Senior Engineer,2002-04-08,53506
487849,Sanjiv,Perna,Senior Engineer,2002-04-08,47070
262566,Rafols,Ladret,Senior Engineer,2002-04-08,40000
292712,Gro,Leuchs,Senior Engineer,2002-04-08,55328
218592,Shalesh,McDermid,Senior Staff,2002-04-06,67463
71545,Denny,Nittel,Senior Staff,2002-04-06,47637
431731,Jianhao,Ermel,Engineer,2002-04-05,54343
469145,Berhard,Szilard,Senior Staff,2002-04-05,40000
245969,Akhilish,Kushner,Senior Staff,2002-04-04,72956
243592,Radhia,Frolund,Senior Staff,2002-04-02,59404
251971,Harjit,Demke,Senior Engineer,2002-04-02,64062
203376,Rajmohan,Curless,Senior Staff,2002-04-02,40000
36877,Shahaf,Ranst,Senior Staff,2002-04-02,63066
452093,Fun,Menhoudj,Senior Engineer,2002-04-02,58624
264848,Gino,Fandrianto,Senior Engineer,2002-04-01,46133
487986,Jackson,Geffroy,Senior Staff,2002-03-31,86827
457054,Pascal,Litecky,Senior Engineer,2002-03-31,40000
279105,Shuichi,Litecky,Senior Engineer,2002-03-30,40000
21432,Kerhong,Weisert,Senior Staff,2002-03-30,45799
41173,Maren,Aseltine,Senior Engineer,2002-03-29,42081
467970,Utz,Kuzuoka,Senior Staff,2002-03-29,63653
261136,Vishv,Joslin,Senior Staff,2002-03-29,103702
53162,Marke,Bamford,Senior Engineer,2002-03-29,47988
287247,Temple,Michaeli,Senior Engineer,2002-03-28,40000
46440,Pranav,Rosay,Engineer,2002-03-28,53108
210509,Shichao,Braunschweig,Senior Staff,2002-03-28,40000
24207,Frazer,Rodham,Engineer,2002-03-27,40389
443747,Sorina,Genther,Senior Staff,2002-03-26,62440
23151,Ortrun,Lunt,Senior Engineer,2002-03-26,91783
33183,Haldun,Veldwijk,Senior Engineer,2002-03-26,48354
462510,Kshitij,Barvinok,Senior Engineer,2002-03-25,40000
223314,Tamiya,Rahier,Senior Staff,2002-03-25,49113
221850,Mitsuyuki,Ritzmann,Engineer,2002-03-25,40000
38267,Abdelghani,Armand,Senior Engineer,2002-03-25,53738
489381,Elzbieta,VanScheik,Senior Engineer,2002-03-25,44966
28782,Marl,Yemenis,Engineer,2002-03-25,48475
231702,Sahrah,Vieri,Senior Staff,2002-03-25,56117
273718,Padma,Nitto,Senior Engineer,2002-03-25,66725
299256,Lucien,Maraist,Senior Engineer,2002-03-24,40000
264670,Dinkar,Ferretti,Senior Staff,2002-03-24,47463
97670,Flemming,Yurek,Senior Staff,2002-03-24,58582
256969,Kazuhisa,Keohane,Senior Engineer,2002-03-24,45605
284530,Almudena,Borstler,Senior Engineer,2002-03-23,47670
297423,Nirmal,Luca,Senior Engineer,2002-03-23,40000
71458,Kazuhiro,Welham,Senior Engineer,2002-03-23,40000
263920,Pintsang,Gecsel,Senior Staff,2002-03-23,60182
462875,Francoise,Picaronny,Senior Engineer,2002-03-21,55193
244836,Tianruo,Cairo,Senior Engineer,2002-03-21,47409
428889,Perry,Brizzi,Engineer,2002-03-21,40000
48503,Pranas,Gammage,Engineer,2002-03-21,68225
411794,Amabile,Kakkar,Senior Staff,2002-03-20,40000
50707,Uno,Coney,Senior Engineer,2002-03-20,46266
405123,Zeljko,Walstra,Senior Staff,2002-03-20,48381
260790,Niteen,Perfilyeva,Senior Engineer,2002-03-19,40000
274090,Franziska,Peng,Senior Staff,2002-03-19,47080
25004,Youpyo,Schurmann,Senior Engineer,2002-03-19,58960
82683,Pantung,Dayang,Senior Staff,2002-03-19,45702
72087,Teiji,Chartres,Senior Engineer,2002-03-19,40000
458054,Yagil,Benaini,Senior Engineer,2002-03-18,40000
439072,Snehasis,Kavanagh,Senior Staff,2002-03-18,73853
36043,Fai,Rubsam,Senior Staff,2002-03-18,90719
286634,Halsur,Underwood,Senior Staff,2002-03-18,62280
221351,Odoardo,Chepyzhov,Senior Staff,2002-03-17,88868
54932,Kamakshi,Munoz,Senior Staff,2002-03-17,61454
474474,Kazuhira,Lammel,Senior Staff,2002-03-17,71395
36491,Margareta,Luon,Senior Engineer,2002-03-16,52847
409374,Vesna,Gischer,Senior Engineer,2002-03-16,40000
238053,Lein,Baca,Senior Staff,2002-03-16,92059
401179,Conrado,Kalloufi,Senior Staff,2002-03-16,55543
202937,Heejo,Schlegelmilch,Senior Staff,2002-03-16,85624
282834,Bodo,Reeken,Senior Staff,2002-03-16,55968
277892,Pintsang,Heyers,Senior Engineer,2002-03-16,47112
21361,Shooichi,Lally,Senior Staff,2002-03-16,84832
17834,Zhilian,Fiutem,Senior Engineer,2002-03-16,40000
273477,Shaowen,Validov,Senior Engineer,2002-03-15,63003
239955,Pantung,Gihr,Senior Staff,2002-03-14,56387
